Sleeper,Mapped_Name,Suggested_Fantasy_Pros,Suggested_Value,Confidence,Notes
Josh Pitsenberger,Josh Pitsenberger,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sahmir Hagans,Sahmir Hagans,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jordon Vaughn,Jordon Vaughn,,,,Review and add to rookies file or fp_sleeper_mapping.txt
E.J. Horton,E.J. Horton,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Gabriel Benyard,Gabriel Benyard,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Omari Kelly,Omari Kelly,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Squirrel White,Squirrel White,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jamal Haynes,Jamal Haynes,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Damon Bankston,Damon Bankston,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kenny Fletcher,Kenny Fletcher,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cameron Dorner,Cameron Dorner,Cameron Dicker,1,0.77,Review and add to rookies file or fp_sleeper_mapping.txt
Nick DeGennaro,Nick DeGennaro,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Myles Montgomery,Myles Montgomery,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jimmy Kibble,Jimmy Kibble,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Drew Stevens,Drew Stevens,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Brandon Frazier,Brandon Frazier,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Keelan Marion,Keelan Marion,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Le'Meke Brockington,Le'Meke Brockington,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kolbe Katsis,Kolbe Katsis,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Stone Eby,Stone Eby,,,,Review and add to rookies file or fp_sleeper_mapping.txt
E.J. Warner,E.J. Warner,AJ Barner,1,0.75,Review and add to rookies file or fp_sleeper_mapping.txt
Paul Geelen,Paul Geelen,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Trent Howland,Trent Howland,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Julius Davis,Julius Davis,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Tommy Thomas,Tommy Thomas,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Rodney Hammond,Rodney Hammond,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Brett Weaver,Brett Weaver,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jordan Nubin,Jordan Nubin,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dean Patterson,Dean Patterson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kadarius Calloway,Kadarius Calloway,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Johnny Pascuzzi,Johnny Pascuzzi,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kyron Hudson,Kyron Hudson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Brock Rechsteiner,Brock Rechsteiner,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Rashad Rochelle,Rashad Rochelle,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Trayvon Rudolph,Trayvon Rudolph,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Mante Morrow,Mante Morrow,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Terrill Davis,Terrill Davis,,,,Review and add to rookies file or fp_sleeper_mapping.txt
